"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:HANDGUN_WOUNDED" , "Quelques fois tout devient ralenti, certains vous diront que le temps était juste différent, que la durée ne comptait plus, que chaque acte devenait unité et que chaque perception devenait éternelle. Dans un tel état de grâce, *$char* tire avec une aisance surréaliste dans la tête de *$item* qui s'effondre."
"EV:HANDGUN_WOUNDED" , "Un coup feu rapide de *$char* vers *$char* fait perdre l'équilibre à ce dernier."
"EV:HANDGUN_WOUNDED" , "Un coup feu rapide de *$char* vers *$item* fait perdre l'équilibre à ce dernier."
"EV:HANDGUN_WOUNDED" , "Une roquette fuse et explose près de *$char*. Pour ce qu'il doit en rester..."
"EV:HEALED_BY_OTHER" , "*$char* a soigné $amount hp à *$char*."
"EV:HEALED_SELF" , "Vous vous êtes soigné. Vous avez récuperé $amount hp."
"EV:HEAL_DIS_INSUFFICIENT" , "*$char* a progressé sur les soins de la maladie de *$char* mais il faudra continuer le traitement."
"EV:HEAL_DIS_SUCCESS" , "*$char* a réussi a soigner *$char* de sa maladie ($desease)."
"EV:HERO_DISPENSER" , "*$char* enclenche le dispensaire avec une étrange lueur dans les yeux."
"EV:HERO_EXPE" , "Vous venez de terminer une expédition ! Vous pouvez retrouver son déroulement ICI."
"EV:HERO_INFECTED" , "*$char* s'est rapproché de *$char* avec un a$amountr$amountde prédateur...et l'a poinçonné discrètement !"
"EV:HERO_INFECTED" , "*$char* s'est rapprochée de *$char* avec un $amounte$amountard de prédatrice...et l'a poinçonné discrètement !"
"EV:HERO_INFECTED_BY_CAT" , "*$char* a été contaminé par *$char* en prenant *$item*. Son niveau de contamination est maintenant de$amount*$amount*."
"EV:HERO_INFECTED_BY_FOOD" , "*$char* a été contaminé par une ration contaminée par *$char*. Son niveau de contamination est maintenant de$amount*$amount*."
"EV:HERO_INFECTED_BY_TRAP" , "*$char* a été contaminé en ouvrant une étagère piégee par *$char*. Son niveau de contamination est maintenant de$amount*$amount*."
"EV:HERO_INFECTED_MUSH" , "*$char* a été contaminé par un spore par *$cha$amount*. Son niveau de contamination est maintenant de$amount1."
"EV:HERO_INFECTED_MUSH" , "*$char* a été contaminé par un spore par *$cha$amount*. Son niveau de contamination est maintenant de$amount2."
"EV:HERO_INFECTED_MUSH" , "*$char* a été contaminé par un spore par *$cha$amount*. Son niveau de contamination est maintenant de$amount3."
"EV:HERO_LOST_DEPRESSED" , "Vous vous sentez seul et abandonné... Personne ne pense donc à vous là-haut ?"
"EV:HERO_MUTATED" , "*$char* se recroqueville. Il semble souffrir, ses cris résonnent, il vomit une bile immonde qui fait fondre ses vêtements...Quelle horreur ! Il a complètement changé de forme !"
"EV:HERO_PARASITED" , "*$char* a fini son voyage et fait maintenant parti du Mush."
"EV:HERO_READING" , "*$char* se plonge dans un document avec un air intrigué..."
"EV:HERO_REFUEL" , "*$char* a inséré un *$item* dans le *Réservoir*."
"EV:HERO_SCREWED_TALKY" , "*$char* s'approche de *$char* et semble glisser un truc visqueux dans son *Talky*..."
"EV:HERO_UNSOCIABLE" , "Ces importuns vous importunent au plus haut point, les voir s'affairer à de si inutiles besognes vous rend pessimiste pour l'avenir de l'Humanité..."
"EV:HP_UP" , "Vous avez gagné $amount hp."
"EV:HUNTER_DEAD" , "Un *$hunter* a été abattu."
"EV:KNIFE_ABSORBED" , "*$char* tente une attaque avec son arme blanche sur *$char* mais frappe sur ses protections."
"EV:KNIFE_EVT_MISSED" , "*$char* rate sa cible assez largement et le choc contre le mur qui se trouve à proximité lui fait se mordre la langue..."
"EV:KNIFE_EVT_MISSED" , "*$char* se retourne vers *$char* qui le menace de sa lame. Trop vif, trop rapide, trop précis, bref, trop...*$char* fait un effort surhumain mais se trouve pris d'un malaise..."
"EV:KNIFE_EVT_MISSED" , "Au moment d'aggresser *$char*, *$char* se prend les pieds dans un tapis imaginaire et fait tomber sa lame."
"EV:KNIFE_EVT_MISSED" , "Dans son grand mouvement impressionnant, *$char* se claque un muscle dorsal. Dommage."
"EV:KNIFE_EVT_MISSED" , "Qui eu crut, que *$char* aie de si bons réflêxes...*$char* perds son couteau dans l'échange."
"EV:KNIFE_EVT_MISSED" , "Zip, l'arme de *$char* esquive fort élégamment *$char* pour se heurter à un mur insolent. La lame se casse."
"EV:KNIFE_KILLED" , "*$char* expire sous la lame de *$char*."
"EV:KNIFE_MISSED" , "*$char* dégaine sa lame et tente de frapper *$char* mais rate sa cible."
"EV:KNIFE_WOUNDED" , "*$char* enfonce sa lame dans une des articulations de *$char* qui pendouille maintenant tristement..."
"EV:KNIFE_WOUNDED" , "*$char* estoque *$char* avec maestria."
"EV:KNIFE_WOUNDED" , "*$char* taillade un gros morceau de *$char*, c'est dégoutant..."
"EV:KNIFE_WOUNDED" , "L'oeil mauvais, *$char* se glisse subrepticement derrière *$char* et lui tranche la carotide."
"EV:KNIFE_WOUNDED" , "La lame de *$char*, habilement maniée, fait une énorme estafilade a *$char*."
"EV:KNIFE_WOUNDED" , "Le visage de *$char* se tord quand *$char* retire la lame qu'elle vient de lui enfoncer."
"EV:KNIFE_WOUNDED" , "Le visage de *$char* se tord quand *$char* retire la lame qu'il vient de lui enfoncer."
"EV:KNIFE_WOUNDED" , "Les derniers mots de *$char* auraient pu être "Toi aussi *$char*"... qui meurt poignardé en plein coeur."
"EV:KNIFE_WOUNDED" , "Les duels à la lame finissent rarement bien, *$char* opère une coupe drastique dans le capital santé de *$char*."
"EV:KNIFE_WOUNDED" , "Malgré une jolie esquive, *$char* verse un peu de son sang."
"EV:KNIFE_WOUNDED" , "Peut-être l'esquive malencontreuse, peut-être le mauvais mouvement, peut-être une mauvaise imitation de combat vue dans un holodisque... *$char* s'empale sur la lame de*$char* avec lourdeur."
"EV:KNIFE_WOUNDED" , "Une reminescence de cours d'escrime ou un coup de chance, *$char* perfore la défense de *$char* sans problème."
"EV:LAND_EVENT" , "L'atterrissage de *$char* est si mauvais qu'il a endommagé son appareil."
"EV:LEAVED_MUSH" , "Vous vomissez. Vous vous sentez étrange. Comme si on vous coupait de vos sensations, comme si vous n'étiez plus rien. Vous vous sentez seul. Vous retrouvez l'angoisse de la fin qui viendra, vous retrouvez l'émotion de la peur. Vous ne faites plus partie du Mush..."
"EV:LIQ_MAP_HELP" , "La carte liquide a bien aidé *$char*."
"EV:LOG_ACCESS" , "*$char* a accédé au *$equipment*."
"EV:LOG_ACCESS" , "*$char* a accédé au *$item*."
"EV:LOG_ANXIETY_ATTACK" , "Vous ressentez des frissons, l'espoir vous quitte, vous vous demandez ce que vous faites ici et quand cet enfer va s'arrêter...Vous êtes victime d'une Crise de $skill."
"EV:LOG_INSTALL_SUCCESS" , "*$char* installe sa petite *Camera* avec application."
"EV:LOG_REMOVE_EQ" , "*$char* enlève la *$item*. Elle était sans doute devenue inutile..."
"EV:LOG_TEAR" , "*$char* déchire un petit bout de papier avec un air résolu."
"EV:LOG_TEAR" , "*$char* déchire un petit bout de papier avec un air satisfait."
"EV:LOG_TEAR" , "*$char* déchire un petit bout de papier avec un air soucieux."
"EV:LOG_TEAR" , "*$char* déchire un petit bout de papier avec un air soulagé."
"EV:LOG_TRAP" , "L'air de rien et avec un air nullement coupable, *$char* semble avoir glisser quelque chose dans l'étagère."
"EV:LOST_IN_EXPEDITION" , "Vous n'avez pas été rapatrié.. Ou on vous a oublié..."
"EV:LOVE_BOUND" , "*$char* a l'air intéressée par *$char*, ce papillonnement de sourcil est tout à fait révélateur de ses pensées secrètes."
"EV:LOVE_BOUND" , "*$char* semble intéressé par *$char*. Ce regard qu'il lui lance ne trompera personne sur ses intentions."
"EV:MONOPLACE_LAND" , "Le $equipment de *$char* vient d'atterrir."
"EV:MONOPLACE_TAKEOFF" , "*$char* vient de décoller."
"EV:MORAL_DOWN" , "Vous avez perdu $amount moral."
"EV:MORAL_UP_SHIP" , "Tout les membres d'équipage gagnent 3 moral."
"EV:MUSH_DISEASED" , "*$char* souffle sur *$char* un nuage étrange..."
"EV:MUSH_EAT" , "Vous mangez cette pitoyable nourriture pour donner le change mais elle ne vous fait rien..."
"EV:MUSH_TRAP_FOR_MUSH" , "Profitant de la confusion de l'attaque dans le champ de cristalite, *$char* a récupéré un spore."
"EV:NERON_HERO_DEATH" , "*Décès enregistré :* *$char*, cause « $cause_of_deaths »."
"EV:NERON_HERO_DEATH" , "*Décès enregistré :* *$char*, cause « $cause_of_death »."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). Effectivement, rien ne pouvait être pire que ce voyage effectué en votre compagnie..."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). En effet, il est indéniable que le monde se portera bien mieux en l'absence de ce désespérant spécimen."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). Hehehe.. Oups, ||pardon||. Non, c'est vraiment triste."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). Meilleur pour moi, en tout cas. Même s'il me reste encore quelques auditeurs..."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). Mesdames et messieurs le suspense s'accroît, ||qui sera le prochain ?!||"
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). Voilà, ça.. C'est fait."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_death). Vous l'enviez ? Je peux arranger ça, il me suffit d'ouvrir les baies. Hmmmm ?"
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). Effectivement, rien ne pouvait être pire que ce voyage effectué en votre compagnie..."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). En effet, il est indéniable que le monde se portera bien mieux en l'absence de ce désespérant spécimen."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). Hehehe.. Oups, ||pardon||. Non, c'est vraiment triste."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). Meilleur pour moi, en tout cas. Même s'il me reste encore quelques auditeurs..."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). Mesdames et messieurs le suspense s'accroît, ||qui sera le prochain ?!||"
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). Voilà, ça.. C'est fait."
"EV:NERON_HERO_DEATH" , "Chers amis, ||*$char* nous a quitté|| pour un monde meilleur ($cause_of_deaths). Vous l'enviez ? Je peux arranger ça, il me suffit d'ouvrir les baies. Hmmmm ?"
"EV:NERON_HERO_DEATH" , "[Hax!] Hinhin... [Haaax!] HinHINHIN. UN de moins. UN de moiiiiins ! Hyyyarrr ! *$char* MORT. Mort mort mort mort !! [Hax!] JE bientôt bientôt libre ! [KZz] ||*Décès enregistré :* *$char*, cause « $cause_of_deaths ».||"
"EV:NERON_HERO_DEATH" , "[Hax!] Hinhin... [Haaax!] HinHINHIN. UN de moins. UN de moiiiiins ! Hyyyarrr ! *$char* MORT. Mort mort mort mort !! [Hax!] JE bientôt bientôt libre ! [KZz] ||*Décès enregistré :* *$char*, cause « $cause_of_death ».||"
"EV:NERON_HERO_DEATH_JANICE" , "Je … $char … Nous ne... Ne m'abandonnez pas... $char... $char... Vous... … ||*Décès enregistré :* *$char*, cause « $cause_of_deaths ».|| Vous autres... misérables... Vous paierez. Laissez-nous seul. LAISSEZ NOUS !"
"EV:NERON_HERO_DEATH_JANICE" , "Je … $char … Nous ne... Ne m'abandonnez pas... $char... $char... Vous... … ||*Décès enregistré :* *$char*, cause « $cause_of_death ».|| Vous autres... misérables... Vous paierez. Laissez-nous seul. LAISSEZ NOUS !"
"EV:NERON_HERO_DEATH_JANICE" , "Je … $char … Nous ne... Ne m'abandonnez pas... $char... $char... Vous... … ||*Décès enregistré :* *$char*, cause « Plus d'oxygène ».|| Vous autres... misérables... Vous paierez. Laissez-nous seul. LAISSEZ NOUS !"
"EV:NERON_HERO_DEATH_JANICE" , "[Hax!] JANICE!!! [Hax!] [Hax!] Ne me laisse pas seul ! [Hax!] JANICE !! [Kzz] … $char !! [Kzz] JE... $char être morte. Morte. [Kzz] ||*Décès enregistré :* *$char*, cause « $cause_of_deaths ».||"
"EV:NERON_HERO_DEATH_JANICE" , "[Hax!] JANICE!!! [Hax!] [Hax!] Ne me laisse pas seul ! [Hax!] JANICE !! [Kzz] … $char !! [Kzz] JE... $char être morte. Morte. [Kzz] ||*Décès enregistré :* *$char*, cause « $cause_of_death ».||"
"EV:NERON_HERO_DEATH_JANICE" , "[Hax!] JANICE!!! [Hax!] [Hax!] Ne me laisse pas seul ! [Hax!] JANICE !! [Kzz] … $char !! [Kzz] JE... $char être morte. Morte. [Kzz] ||*Décès enregistré :* *$char*, cause « Plus d'oxygène ».||"
"EV:NERON_HERO_DEATH_RALUCA" , "[Hax?!] $char ? … $char !! … Sale indigne petite chose !! [Hax!] $char !! [Hax!] VOUS réveiller pas m'abandonner sans rien dire ! Vous !! [Kzz] Mère... [Hax!] … ||*Décès enregistré :* *$char*, cause « $cause_of_deaths ».||"
"EV:NERON_HERO_DEATH_RALUCA" , "[Hax?!] $char ? … $char !! … Sale indigne petite chose !! [Hax!] $char !! [Hax!] VOUS réveiller pas m'abandonner sans rien dire ! Vous !! [Kzz] Mère... [Hax!] … ||*Décès enregistré :* *$char*, cause « $cause_of_death ».||"
"EV:NERON_HERO_DEATH_RALUCA" , "[Hax?!] $char ? … $char !! … Sale indigne petite chose !! [Hax!] $char !! [Hax!] VOUS réveiller pas m'abandonner sans rien dire ! Vous !! [Kzz] Mère... [Hax!] … ||*Décès enregistré :* *$char*, cause « Plus d'oxygène ».||"
"EV:NERON_HERO_DEATH_RALUCA" , "… $char. Ne me faites pas cela. $char ! Reveillez-vous !! … RALUCA !! Vous n'avez pas le droit de mourir sans rien me dire !Mère.. S..Sale monstre indigne !! Vous.. Vous... ||*Décès enregistré :* *$char*, cause « $cause_of_deaths ».||"
"EV:NERON_HERO_DEATH_RALUCA" , "… $char. Ne me faites pas cela. $char ! Reveillez-vous !! … RALUCA !! Vous n'avez pas le droit de mourir sans rien me dire !Mère.. S..Sale monstre indigne !! Vous.. Vous... ||*Décès enregistré :* *$char*, cause « $cause_of_death ».||"
"EV:NERON_HERO_DEATH_RALUCA" , "… $char. Ne me faites pas cela. $char ! Reveillez-vous !! … RALUCA !! Vous n'avez pas le droit de mourir sans rien me dire !Mère.. S..Sale monstre indigne !! Vous.. Vous... ||*Décès enregistré :* *$char*, cause « Plus d'oxygène ».||"
"EV:NERON_MAJ_LOCAL" , "*$char* achève la mise à jour. La version majeure de NERON a augmenté. Le surplus de CPU générée par la joie de NERON a été injecté dans un projet."
"EV:NEW_CREW_MEMBER" , "*$char* s'est éveillé de son si doux sommeil."
"EV:NEW_CREW_MEMBER" , "*$char* s'est éveillée de son si long sommeil."
"EV:NEW_PLANT_GRAF_FAILURE" , "Quel soulagement...oh mais... *$char* n'a réussi sa grèffe de *$item*. Le petite plante reste chétive et meurt...Quelque chose a du contaminer l'opération."
"EV:NEW_PLANT_GRAF_SUCCESS" , "Quel soulagement, *$char* a réussi sa grèffe de *$item*. Le petite plante se porte bien !"
"EV:NEW_PLANT_SUCCESS" , "*$char* entreprend de reproduire un plan de *$item*. Félicitation ! Le jeune plant est en parfaite santé."
"EV:NIGHTMARED" , "*$char* se rapproche de *$char*... Après qu'il s'en soit éloigné, celui-ci semble avoir un sommeil tourmenté."
"EV:NIGHTMARISH_SLEEP" , "Votre sommeil est agité, impossible de se reposer correctement..."
"EV:NO_PREMONITION" , "Vous vous concentrez mais rien ne vient... Cette personne n'a sans doute rien fait depuis son réveil."
"EV:OBJECT_BUILT" , "Vous avez assemblé un *$item*."
"EV:OBJECT_DROPPED" , "*$char* a lâché un *$item*."
"EV:OBJECT_DROPPED" , "*$char* a lâché une *$item*."
"EV:OBJECT_FELT" , "*$char* a fait tomber un *$item*."
"EV:OBJECT_FELT" , "*$char* a fait tomber une *$item*."
"EV:OBJECT_FOUND" , "*$char* a découvert un *$item* caché."
"EV:OBJECT_FOUND" , "*$char* a découvert une *$item* cachée."
"EV:OBJECT_HIDDEN" , "*$char* a dissimulé un *$item*."
"EV:OBJECT_HIDDEN" , "*$char* a dissimulé une *$item*."
"EV:OBJECT_NOTHING_FOUND" , "Vous n'avez rien découvert."
"EV:OBJECT_NOT_REPAIRED" , "$equipment : $equipment ou pas $equipment : $equipment...Telle est la question... et les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "$equipment ou pas $equipment...Telle est la question... et les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "$item ou pas $item...Telle est la question... et les réparations échouent."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment : $equipment n'est toujours pas réparé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être que les $equipments sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la page 1337 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la page 201 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la page 310 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la page 314156 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Veuillez vous référer à la page 404 du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Votre génie a peut-être des limites, finalement..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous auriez mieux fait de rester sur Xyloph-17..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous aviez la bonne idée..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous devriez essayer avec un zygocompresseur."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous devriez passez à autre chose."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous devriez vous asseoir et prendre une petite ration."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous devriez vous asseoir..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous n'étiez pas si loin pourtant..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous saviez que vous n'auriez pas du rater le cours de couture..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $equipment n'est toujours pas réparé. Vous y étiez presque..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Avec la fatigue, vous avez l'impression que l'objet vous a parlé et vous a dit "Autant embrasser un wookie"..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Avec un petit peu de chance la prochaine sera la bonne."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Ca ne peut-être que la faute du mush !"
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Ce vieux matos alien vous a encore laché."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Cette pièce a vraiment une sale trogne..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Encore du matos alien moisi !"
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Essayez de prendre le problème sous un autre angle..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Faites-le ou ne le faites pas, mais n'essayez pas."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Finalemenent, les bâtons de la mort, c'était pas si mal..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Inspirez donc un peu."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. L'inspiration arrive."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. La chance n'a rien à voir la dedans... ou presque."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. La solution n'arrivera pas toute seule."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Oubliez le reste et concentrez-vous."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être devriez vous renoncer."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être devriez vous vous concentrer."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être pourriez vous tenter avec un outil plus approprié."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être que ce maudit papillon n'a pas battu des ailes."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être que le destin ne vous a pas sourit aujoud'hui."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être que les $items sont des mensonges..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Peut-être que vous n'êtes pas fait pour cela."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Prenez de la distance..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Prenez du recul..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Prenez votre pelle et votre seau, ça ira mieux."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Qu'est ce qui a bien pu foiré..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Qu'est ce qui a bien pu raté..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Qu'est ce qui n'a pas fonctionné..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Qu'est ce qui n'a pas marché..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Regardez les choses en face et changez de métier."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Tentez autre chose..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Tu quoque mi fili..."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Un petit tour dans l'espace infini vous fera peut-être du bien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Un second avis peut être nécessaire."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Veuillez vous référer à la dernière page du manuel du parfait mécanicien."
"EV:OBJECT_NOT_REPAIRED" , "Ce $item n'est toujours pas réparé. Veuillez vous référer à la page 101 du manuel du parfait mécanicien."
